Group	binnum	CG	CHG	CHH
UM	37	0.0155533330028663	0.00501276425196256	0.00461545914241743
UM	38	0.0153901890157664	0.00544734350634885	0.00505648929955924
UM	39	0.0199583702656136	0.00701574837040473	0.00655121182086694
UM	40	0.0297663217730983	0.0101351804867571	0.00755738313445799
UM	41	0.0496704754272766	0.0134414337529336	0.00898109112538339
UM	42	0.0514755924024005	0.0148308531808113	0.0109377203605911
UM	43	0.0690473537604457	0.020392644822342	0.0111447246052955
UM	44	0.0691935500510673	0.017505038542251	0.011572753023319
UM	45	0.0789800009323575	0.0196808303852583	0.0131334244337891
UM	46	0.0846734722416445	0.0218742395027986	0.0127771536687755
UM	47	0.0958753512977352	0.0223631245231393	0.0131984110650757
UM	48	0.0973500405893085	0.0228141506811232	0.0143551376130998
UM	49	0.111291562710854	0.0241727925715343	0.0143675941813881
UM	50	0.109004849480191	0.0249335106382979	0.014578615031572
UM	51	0.106349291336174	0.0257337734487149	0.0144290998031379
UM	52	0.116957604098094	0.0281986764369493	0.0138660506402794
UM	53	0.122021175968022	0.0295339886219005	0.0138842808303161
UM	54	0.125528935548295	0.0270118645995224	0.0138464256838881
UM	55	0.120626067504043	0.0288103064128301	0.0147736566978415
UM	56	0.130592332424947	0.0310408935379095	0.0139094849092259
UM	57	0.131446695405508	0.0290591475790084	0.013800494243035
UM	58	0.135300931828613	0.0280459252905485	0.0128002021264246
UM	59	0.139028439282892	0.0286559321081324	0.0131814963417512
UM	60	0.13837338760575	0.0297446482038469	0.0131646094872863
