ID,ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18,ID19,ID20
128R,-0.708266029, 2.006490978, 0.536582067, 0.818138168,-1.66418110, 0.6451757189,-0.47389181, 0.30190229, 0.74795907, 0.869442002,-1.193831898, 0.259907982, 0.210376968, 0.48159876, 1.09129968, 0.630422634,-0.458681931, 4.058103e-02, 1.759150267, 0.580064017
12R,-0.376493002, 0.360848518, 0.058684503,-1.922040597,-1.25578415,-0.4256726668,-1.24790582,-1.25918799,-0.06768094, 0.944768329, 0.529274752,-0.364485714,-0.680030263,-0.80835233, 0.41002086, 1.132651676, 1.574132213, 3.865083e-01,-0.777904149,-0.011520537
131R, 0.692558782, 0.558034700, 0.483023190,-0.094468050,-1.64552536,-1.1061666316, 0.08231164,-0.06450617,-0.33815591,-0.905443884, 0.696416534, 0.306572548,-1.128045156,-1.03650509,-1.25809786,-0.182446259,-0.499631500, 1.915740e-01, 0.733056786, 0.202897814
136R, 0.231442629, 0.099457469, 0.868905757, 1.253938256, 1.19002382, 0.0094380832,-1.85145457, 0.11234862, 0.90252194,-0.008675583,-0.611875649,-1.082537807,-0.040541519, 0.05382739, 0.35430189, 0.102549302, 0.953113165,-3.867262e-01,-0.409824425,-0.863670562
139R, 0.861121908, 0.044195881,-1.660623525,-0.584087008, 0.89267190,-1.0030816344, 0.77633006, 1.85924227,-0.64674759,-0.861246591, 1.049404067, 0.525164785, 0.857079780, 0.46311337, 0.67432569,-0.771558113, 0.964910071,-7.223386e-01,-0.460457304,-0.573610272
13R, 1.685263728, 1.400511340,-0.134205626,-1.017679414, 0.14662876, 0.6947247699,-0.11358996,-0.06898323, 0.35127352,-0.547855359,-0.704453447,-1.773065085, 0.268464640,-0.09287374, 0.94108751, 0.509753145, 1.203737164, 1.107953e+00,-0.372159821,-0.881117143
141R,-0.635629260,-1.466563568,-1.337174194,-0.212603216, 0.26308955, 1.2664094771,-0.33481957, 1.30790967, 1.09680621,-1.178995439,-1.466630366, 0.388270492, 0.640399930, 0.64840724, 1.65912564, 0.910555235,-0.036686276, 5.607891e-02,-0.433168851,-0.552240302
146R, 0.474196395, 1.649947162, 0.242699747,-1.668577314,-0.67441298, 1.2206660242,-0.56888735,-0.55864175, 1.56032399, 1.395679507, 1.572644795,-1.094935705,-0.365294082,-0.09792669, 0.93579446, 1.353580870,-1.641400919,-7.983762e-01,-1.232949267,-1.037115089
150R,-0.158066658,-1.108259324,-0.271891016, 0.510744315,-0.84837216,-0.2880516011,-0.33819006,-1.17730488, 0.10841917,-0.474771205,-0.695279647,-1.483652101,-1.191877358,-1.48915412,-2.26590574,-0.670156910, 2.243207425, 6.913905e-01, 2.372759290, 0.513274167
152R, 3.514042774,-1.737459015,-1.368890101,-0.963590478, 0.59021266, 0.5764999028, 0.99679708, 0.74327604, 0.30219118,-1.448051847, 1.311645139, 1.477646284,-0.425201898, 0.52478322,-0.61661399,-0.101415161, 0.387640589, 1.893384e+00,-1.916635471,-0.752591785
153R, 0.564688820,-0.055242340, 0.991201024, 1.090917069,-0.55592478,-1.9508828931,-0.60200870, 0.59044666,-0.71413140,-0.460041280,-0.055791644, 0.333690086,-1.553095042,-0.50429084,-0.12271783, 1.902511066,-0.236274235,-8.309111e-01,-1.250230492,-1.447946024
157R,-0.493455953,-1.145131257,-0.489242077,-1.000844862,-1.61285385,-1.2048011097,-1.28615632,-1.40531549,-0.24230825, 1.211704993,-0.641009940,-0.200907244, 1.949276758, 1.48388833,-0.46865751, 0.340224611,-0.000330331,-1.487441e-01, 0.392759937, 0.824437678
